numero_arrete,date_signature,debut_validite_arrete,fin_validite_arrete,duree_jours
DDT-SEEB-PPE-Dive-n°2023-03,2023-06-26,2023-06-26,2023-07-05,10.0
DDTM/SEBIO/2023-27,2023-03-24,2023-06-27,2023-06-26,0.0
DDTM/SEBIO/2023-43,2023-05-02,2023-05-03,2023-08-17,107.0
DDTM/SEBIO/2023-42,2023-05-02,2023-05-03,2023-08-17,107.0
Vigilance Var,2023-02-17,2023-02-18,2023-02-18,1.0
DDTM/SEBIO/2023-041,2023-05-02,2023-05-03,2023-08-03,93.0
DDTM/SEBIO/2023-47,2023-05-02,2023-05-03,2023-08-17,107.0
DDTM/SEBIO/2023-48,2023-05-02,2023-05-03,2023-08-17,107.0
DDTM/SEBIO/2023-26,2023-03-21,2023-03-22,2023-09-28,191.0
DDTM/SER/2023 164-0002,2023-06-13,2023-06-14,2023-07-24,41.0
AP_N°2023_DDT_SEB_263_Veude-Negron,2023-06-14,2023-06-27,2023-07-11,15.0
APN°2023_DDT_SEB_282_Gartempe_Anglin,2023-06-23,2023-06-27,2023-07-09,13.0
230623_AP_2023_DDT_SEB_280_Dive_du_Nord,2023-06-23,2023-06-26,2023-07-17,22.0
AP_2023_DDT_SEB_284_Vienne ,2023-06-23,2023-06-26,2023-07-09,14.0
AP_2023_DDT_SEB_281_Clain,2023-06-23,2023-06-26,2023-07-02,7.0
26-2023-06-09-00001 & 38-2023-06-09-00002,2023-06-09,2023-06-10,2023-07-20,41.0
26-2023-06-09-00002,2023-06-09,2023-06-10,2023-07-26,47.0
26-2023-06-12-00005 & 05-2023-06-12-00009,2023-06-12,2023-06-13,2023-07-27,45.0
38-2023-04-19-00005 & 26-2023-04-24-00002,2023-04-24,2023-04-25,2023-07-20,87.0
DDTM34-2023-06-13953,2023-06-19,2023-06-19,2023-07-10,22.0
38-2023-04-19-00005 et 26-2023-04-24-00002,2023-04-24,2023-04-25,2023-07-12,79.0
AP-Restriction-BvCharente-162023062800002,2023-06-28,2023-06-29,2023-07-05,7.0
74_DDT_ARP_2023-0911,2023-06-27,2023-06-27,2023-07-11,15.0
23EB611 vigilance Antenne Charente aval Bruant,2023-06-28,2023-06-29,2023-07-05,7.0
20230615 - Vaucluse,2023-06-15,2023-06-16,2023-08-10,56.0
AR OUVÈZE PROVENÇALE,2023-06-21,2023-06-22,2023-09-24,95.0
AR LEZ PROVENÇAL – LAUZON ET DE L’ÆYGUES,2023-06-12,2023-06-13,2023-07-30,48.0
V3_45-202300607-Beauce,2023-06-07,2023-06-08,2023-07-03,26.0
V3_45-20230607-Est et sud,2023-06-07,2023-06-08,2023-07-03,26.0
DDT/SEE/2023/0032,2023-06-28,2023-06-28,2023-07-12,15.0
82-2023-06-28-0002,2023-06-28,2023-06-28,2023-06-29,2.0
70-2023-03-23-00010-01,2023-03-23,2023-03-23,2023-07-12,112.0
05-2023-06-08-00002,2023-06-08,2023-06-09,2023-07-20,42.0
Arrêté du 28 juin 2023,2023-06-28,2023-06-29,2023-07-05,7.0
DDT53_CP-n°2_27-06-2023,2023-06-27,2023-06-28,2023-07-03,6.0
n°2023-346,2023-06-28,2023-06-28,2023-07-11,14.0
Dive du Nord 20230623,2023-06-23,2023-06-26,2023-07-06,11.0
Clain 20230623,2023-06-23,2023-06-26,2023-07-03,8.0
CP42001,2023-06-27,2023-06-27,2023-07-17,21.0
ARRETE N DDT-SGREB-2023-205,2023-06-28,2023-06-28,2023-07-04,7.0
1055,2023-06-29,2023-07-01,2023-07-06,6.0
SNMP-20230629,2023-06-29,2023-06-30,2023-07-09,10.0
36-2023-06-29-00002,2023-06-29,2023-07-01,2023-07-07,7.0
DDT-SEB/PREMA-2023095-0001,2023-04-05,2023-04-06,2023-07-21,107.0
DDT/SE-B/PREMA-2023180-0001,2023-06-29,2023-06-29,2023-07-14,16.0
N°52_2023_06_00315,2023-06-30,2023-06-30,2023-07-06,7.0
2023-02,2023-06-29,2023-07-01,2023-07-07,7.0
41-2023-06-29-00008,2023-06-29,2023-06-30,2023-07-06,7.0
AP_2023_DDT_SEB_297_Clain,2023-06-29,2023-07-03,2023-07-09,7.0
47-2023-06-30-00001,2023-06-30,2023-06-30,2023-07-12,13.0
23EB617 vigilance marais Sèvre Niortaise,2023-06-30,2023-07-03,2023-07-09,7.0
20230630_AP3,2023-06-30,2023-07-02,2023-07-13,12.0
2023-239,2023-06-30,2023-06-30,2023-07-06,7.0
83-2023,2023-07-04,2023-07-04,2023-07-20,17.0
20230630_AP_HERS_LEZE,2023-06-30,2023-07-01,2023-07-27,27.0
AP_Restriction-BvClain-162023062900002,2023-06-29,2023-07-03,2023-08-21,50.0
94_2023_02351,2023-06-29,2023-07-01,2023-10-31,123.0
2023/DDT/SEPR/177,2023-06-30,2023-07-01,2023-07-24,24.0
2023_EnGUIBAUD_50%,2023-06-09,2023-06-28,2023-07-14,17.0
2023_AGROS_100%,2023-06-09,2023-06-28,2023-07-04,7.0
2023_BAGAS_30%,2023-06-09,2023-06-28,2023-07-14,17.0
2023_CEROU_30%,2023-06-28,2023-07-01,2023-07-07,7.0
Clain-20230630,2023-06-30,2023-07-03,2023-07-13,11.0
Sèvre-Nantaise_20230629,2023-06-29,2023-07-01,2023-07-27,27.0
Charente-Boutonne_20230629,2023-06-29,2023-07-01,2023-07-06,6.0
DDT53_AR-n°2_03-07-2023,2023-07-03,2023-07-04,2023-07-18,15.0
23-DDTM85-457b,2023-06-28,2023-07-01,2023-07-16,16.0
23-DDTM85-458b,2023-06-28,2023-07-01,2023-07-13,13.0
DDTM/SEBIO/2023-65,2023-06-27,2023-06-27,2023-06-26,0.0
DDTM/SEBIO/2023-65,2023-06-27,2023-06-27,2023-07-27,31.0
23-2023-06-12-00003,2023-06-12,2023-06-13,2023-07-06,24.0
DDTM-SEMA-2023-0076_01,2023-05-31,2023-07-03,2023-07-11,9.0
DDTM-SEMA-2023-0076_02,2023-05-31,2023-07-03,2023-07-11,9.0
DDTM-SEMA-2023-0076_03,2023-05-31,2023-07-03,2023-07-11,9.0
2023/SEE/128,2023-06-30,2023-07-01,2023-07-07,7.0
2023-DDT 57/SABE/EAU-30 Zone MAONS,2023-06-26,2023-06-27,2023-07-19,23.0
2023-DDT 57/SABE/EAU-31 Zone MAM,2023-06-26,2023-06-27,2023-07-18,22.0
2023_DOURDOU,2023-06-16,2023-06-01,2023-06-30,30.0
23-DDTM85-456,2023-06-28,2023-07-01,2023-07-13,13.0
2023_AGROS_02,2023-06-09,2023-07-05,2023-07-11,7.0
SEN/2023/06/30-093,2023-07-04,2023-07-04,2023-07-04,1.0
2023_DOURDOU_02,2023-06-29,2023-07-01,2023-07-14,14.0
Arrêté du 04 juillet 2023,2023-07-04,2023-07-06,2023-07-11,6.0
45-202300704-Beauce,2023-07-04,2023-07-05,2023-07-31,27.0
V3_45-202300607-Beauce,2023-07-04,2023-07-04,2023-07-04,1.0
45-20230704-Est et sud,2023-07-04,2023-07-05,2023-07-31,27.0
V3_45-20230607-Est et sud,2023-07-04,2023-07-04,2023-07-04,1.0
2023-04-02,2023-07-04,2023-07-04,2023-07-12,9.0
2023-04-01,2023-07-04,2023-07-04,2023-07-12,9.0
AP-Restriction-BvCharente-162023070600001,2023-07-05,2023-07-06,2023-07-12,7.0
ARRETE N° DDT-SGREB-2023-222,2023-07-05,2023-07-05,2023-07-11,7.0
DDT/SEER/2023-015,2023-06-30,2023-07-01,2023-07-08,8.0
LOT_AP_E-2023-183_20230629,2023-06-29,2023-07-01,2023-07-07,7.0
LOT_AP_E-2023-192_20230706,2023-07-06,2023-07-08,2023-07-15,8.0
9677-2023,2023-07-05,2023-07-05,2023-07-17,13.0
AP_Restriction-BvDordogne-162023070500001,2023-07-05,2023-07-06,2023-07-12,7.0
23EB621 alerte Antenne Charente aval Bruant Né,2023-07-05,2023-07-06,2023-07-12,7.0
23EB622 vigilance Isle bassin aval,2023-07-05,2023-07-06,2023-07-12,7.0
DDT-SEEB-PPE-Dive-n°2023-04,2023-07-05,2023-07-06,2023-07-11,6.0
2023-DDT 57/SABE/EAU-33 Zone LSMZ,2023-06-26,2023-06-27,2023-07-30,34.0
2023-DDT 57/SABE/EAU-32 Zone Sarre,2023-06-26,2023-06-27,2023-08-01,36.0
85-2023,2023-07-21,2023-07-21,2023-07-24,4.0
Arrêté DDT-SEEB-PPE-Etiage-49 n° 2023-03,2023-06-30,2023-07-01,2023-07-18,18.0
DDT/SEER/2023-015-V2,2023-06-30,2023-07-01,2023-07-08,8.0
71-2023-06-14-00008,2023-06-14,2023-06-15,2023-07-13,29.0
23-2023-06-12-00003,2023-07-06,2023-07-06,2023-07-12,7.0
1089,2023-07-06,2023-07-07,2023-07-13,7.0
SEN/2023/06/30-093,2023-07-04,2023-07-04,2023-07-12,9.0
SEN/2023/06/30-093-ACI,2023-07-04,2023-07-04,2023-07-12,9.0
N°52-2023-07-00049,2023-07-07,2023-07-07,2023-07-12,6.0
DDT/SEER/2023-017,2023-07-07,2023-07-08,2023-07-14,7.0
AP_2023_DDT_SEB_320_Clain,2023-07-05,2023-07-10,2023-07-12,3.0
AP_2023_DDT_SEB_321_Affluents-Creuse (hors axe),2023-07-05,2023-07-10,2023-08-27,49.0
AP_2023_DDT_SEB_324_Vienne ,2023-07-05,2023-07-10,2023-07-16,7.0
APN°2023_DDT_SEB_323_Gartempe_Anglin,2023-07-05,2023-07-10,2023-07-17,8.0
12-2023-07-05-00001,2023-07-05,2023-07-08,2023-07-14,7.0
2023/SEE/0132,2023-07-07,2023-07-08,2023-07-19,12.0
2023-06-30-001,2023-07-03,2023-07-03,2023-07-07,5.0
DDT-2023-247,2023-07-07,2023-07-07,2023-07-11,5.0
36-2023-07-06-00001,2023-07-06,2023-07-08,2023-07-14,7.0
DDT-SEEB-PPE-2023-Etiage n°2023-SN-02,2023-07-05,2023-07-06,2023-07-18,13.0
2023-06-30-001,2023-07-03,2023-07-03,2023-07-17,15.0
2023_04,2023-07-07,2023-07-07,2023-10-06,92.0
23EB625 levée vigilance Mignon,2023-07-07,2023-07-10,2023-10-31,114.0
AP_DDT-SEN_20230706_B90_EL,2023-07-06,2023-07-06,2023-07-18,13.0
AP_DDT-SEN_20230706_B90,2023-07-06,2023-07-06,2023-07-18,13.0
AP_DDT-SEN_20230706_B90_axe Saone,2023-07-06,2023-07-06,2023-08-03,29.0
76_Z1_20230710_V3,2023-07-04,2023-07-04,2023-11-21,141.0
30-2023-07-07-00006,2023-07-07,2023-07-11,2023-07-10,0.0
07-2023-07-06-00010,2023-07-06,2023-07-06,2023-07-12,7.0
41-2023-07-06-00005,2023-07-06,2023-07-07,2023-07-20,14.0
20230706_Dive-nord,2023-07-06,2023-07-07,2023-07-18,12.0
20230706-Charente-Boutonne,2023-07-06,2023-07-07,2023-07-13,7.0
20230706_SNMP,2023-07-06,2023-07-10,2023-07-23,14.0
58-2023-07-05-00002,2023-07-05,2023-07-07,2023-07-30,24.0
20230706-Layon,2023-07-06,2023-07-07,2023-07-20,14.0
EL_38-2023-07-10-00008,2023-07-10,2023-07-10,2023-07-12,3.0
Vigilance-20230619-Nord,2023-06-19,2023-06-20,2023-07-10,21.0
VigilanceRenforcée-20230619-Nord,2023-06-19,2023-06-20,2023-07-10,21.0
2023-DEALM-SEPR-0437 24052023,2023-05-24,2023-05-24,2023-07-16,54.0
AP du 10/07/2023 (Yser en alerte),2023-07-10,2023-07-10,2023-07-27,18.0
30-2023-07-07-00006,2023-07-07,2023-07-11,2023-07-20,10.0
2023_vigilance_gartempe_vienne_aval,2023-06-16,2023-06-16,2023-07-19,34.0
2023_vigilance_vienne_amont,2023-06-16,2023-06-16,2023-07-19,34.0
2023_vigilance_dordogne,2023-06-16,2023-06-16,2023-07-19,34.0
Arrêté n°DDT-SGREB-2023-222,2023-07-05,2023-07-05,2023-07-11,7.0
DDT-ERC-2023-051-MAONS-AR,2023-07-07,2023-07-07,2023-08-02,27.0
DDT-ERC-2023-052-MAM-AR,2023-07-07,2023-07-07,2023-08-02,27.0
2023_AGROS_03,2023-06-09,2023-07-12,2023-07-14,3.0
23-2023-07-11-00003,2023-07-11,2023-07-13,2023-07-19,7.0
64-2023-07-11-00003 Ousse des Bois Alerte,2023-07-11,2023-07-14,2023-07-20,7.0
DDTM34-2023-07-14026,2023-07-11,2023-07-11,2023-07-27,17.0
Arrêté du 11 juillet 2023,2023-07-11,2023-07-12,2023-07-18,7.0
DDT-ERC-2023-050-MAC-A,2023-07-07,2023-07-07,2023-08-02,27.0
AP-Restriction-BvCharente-162023071100003,2023-07-11,2023-07-13,2023-07-19,7.0
ARRETE DDT-SGREB-2023-227,2023-07-12,2023-07-12,2023-07-17,6.0
DDT-SEEB-PPE-Dive-n°2023-05,2023-07-11,2023-07-12,2023-07-26,15.0
n°2023-376,2023-07-11,2023-07-11,2023-10-31,113.0
74_DDT_ARP_2023-1028_AR_Dra_SOL_AAv_Amed_V_AAmt,2023-07-12,2023-07-12,2023-08-22,42.0
arrêté n°2023-377,2023-07-11,2023-07-11,2023-09-13,65.0
AP_2023_DDT_SEB_326_Vienne,2023-07-12,2023-07-17,2023-07-17,1.0
DDT_SEER_2023_017,2023-07-07,2023-07-08,2023-07-15,8.0
20230712_AP4,2023-07-12,2023-07-14,2023-07-25,12.0
AP_2023_DDT_SEB_325_Veude_Négron,2023-07-11,2023-07-12,2023-10-31,112.0
AP_2023_DDT_SEB_330_Clain,2023-07-12,2023-07-13,2023-07-20,8.0
263/2023,2023-07-12,2023-07-12,2023-07-28,17.0
32-2023-03-14-00003,2023-03-14,2023-03-14,2023-08-17,157.0
Charente-Boutonne 20230713,2023-07-13,2023-07-14,2023-07-20,7.0
Clain 20230714,2023-07-13,2023-07-14,2023-07-23,10.0
AP_Restriction-BvDordogne-162023071200002,2023-07-12,2023-07-13,2023-07-13,1.0
LET230697 Vigilance Saleys,2023-07-11,2023-07-11,2023-07-20,10.0
64-2023-07-11-00004 Joyeuse AlertRenforcée,2023-07-11,2023-07-14,2023-07-20,7.0
64-2023-07-11-00005 Lausset Alerte,2023-07-11,2023-07-14,2023-08-17,35.0
DDT-2023-256,2023-07-12,2023-07-12,2023-07-19,8.0
23EB626,2023-07-12,2023-07-13,2023-07-19,7.0
23EB630 Alerte Isle bassin aval,2023-07-12,2023-07-13,2023-07-25,13.0
36-2023-07-13-00001,2023-07-12,2023-07-15,2023-07-21,7.0
AP-Restriction-BvDordogne-162023071300002,2023-07-13,2023-07-14,2023-07-19,6.0
12-2023-07-12-00002 LOT,2023-07-12,2023-07-15,2023-07-21,7.0
DDT/SEER/2023/018_BV-LOT,2023-07-13,2023-07-15,2023-07-21,7.0
DDT/SEER/2023/018_BV-DROPT,2023-07-13,2023-07-15,2023-07-21,7.0
DDT/SEER/2023/018_BV Charente,2023-07-13,2023-07-15,2023-07-21,7.0
DDT/SEER/2023/018_BV-DORDOGNE,2023-07-13,2023-07-15,2023-07-14,0.0
48-2023-SEC Affluents crayeux Marne et Aisne Aval,2023-07-13,2023-07-15,2023-10-31,109.0
48-2023-SEC Brie et Tardenois,2023-07-13,2023-07-15,2023-10-31,109.0
48-2023-SEC Grand Morin,2023-07-13,2023-07-15,2023-09-12,60.0
48-2023-SEC Petit Morin,2023-07-13,2023-07-15,2023-09-12,60.0
A_LOT_AP_E-2023-210_20230713,2023-07-13,2023-07-15,2023-07-21,7.0
L_LOT_AP_E-2023-210_20230713,2023-07-13,2023-07-15,2023-07-21,7.0
DDT/SEER/2023/018_BV-DORDOGNE,2023-07-13,2023-07-15,2023-07-21,7.0
DDT-SEB/PREMA-2023194-0001,2023-07-13,2023-07-15,2023-07-21,7.0
12-2023-07-12-00002 AVEYRON,2023-07-12,2023-07-15,2023-07-21,7.0
2023_AGROS_04,2023-07-13,2023-07-15,2023-07-21,7.0
2023_Affluents Agout aval,2023-07-13,2023-07-15,2023-07-21,7.0
12-2023-07-12-00002 TARN,2023-07-12,2023-07-15,2023-07-21,7.0
2023_Affluents Tarn moyen,2023-07-13,2023-07-15,2023-07-21,7.0
12-2023-07-12-00002 ORB HÉRAULT,2023-07-12,2023-07-15,2023-07-21,7.0
2023_Affluents Tarn aval,2023-07-13,2023-07-15,2023-07-21,7.0
2023_TESCOU_01,2023-07-13,2023-07-15,2023-07-21,7.0
2023_Vère non réalimentée_01,2023-07-13,2023-07-15,2023-07-21,7.0
2023_DOURDOU_03,2023-07-13,2023-07-15,2023-07-21,7.0
2023-05-01,2023-07-13,2023-07-13,2023-08-10,29.0
2023-05-02,2023-07-13,2023-07-13,2023-08-10,29.0
20230713_bvcharente,2023-07-13,2023-07-13,2023-07-19,7.0
1142,2023-07-13,2023-07-14,2023-07-20,7.0
2023/ENV/PPE005,2023-07-13,2023-07-13,2023-08-21,40.0
23-DDTM85-533,2023-07-12,2023-07-14,2023-07-27,14.0
23-DDTM85-531,2023-07-12,2023-07-14,2023-08-20,38.0
DDT/SEE/2023/0035,2023-07-13,2023-07-13,2023-08-29,48.0
23-DDTM85-532,2023-07-12,2023-07-17,2023-08-27,42.0
S_LOT_AP_E-2023-210_20230713,2023-07-06,2023-07-08,2023-07-08,1.0
71-2023-07-13-00001,2023-07-13,2023-07-14,2023-07-27,14.0
N°52-2023-07-00091,2023-07-13,2023-07-13,2023-07-18,6.0
20231274,2023-07-13,2023-07-14,2023-07-20,7.0
47-2023-07-13-00002,2023-07-13,2023-07-13,2023-07-21,9.0
Arrêté du 13 juillet 2023,2023-07-13,2023-07-15,2023-07-17,3.0
19-2023-07-12-00003-ESUP,2023-07-12,2023-07-13,2023-07-20,8.0
[EL_ZA2023]_N°38-2023-07-10-00008,2023-07-10,2023-07-13,2023-07-18,6.0
19-2023-07-12-00003-ESOU,2023-07-12,2023-07-13,2023-07-20,8.0
[GDC_2023]26-2023-06-09-00001et38-2023-06-09-00002,2023-06-09,2023-07-13,2023-07-20,8.0
D_LOT_AP_E-2023-210_20230713,2023-07-13,2023-07-15,2023-07-21,7.0
BLV_38-2023-04-19-00005_et_N°_26-2023-04-24-00002,2023-04-19,2023-07-13,2023-07-20,8.0
S_LOT_AP_E-2023-210_20230713,2023-07-13,2023-07-15,2023-07-21,7.0
AP_N°_38-2023-07-13-00003,2023-07-13,2023-07-13,2023-08-04,23.0
2023-DEALM-SEPR-0619,2023-07-13,2023-07-17,2023-08-01,16.0
SEN/2023/07/13-105,2023-07-13,2023-07-13,2023-07-13,1.0
SEN/2023/07/13-105-ACI,2023-07-13,2023-07-13,2023-07-13,1.0
SEN/2023/07/13-105-ACD,2023-07-13,2023-07-13,2023-07-30,18.0
SEN/2023/07/13-105-ACI-dordogne,2023-07-13,2023-07-13,2023-07-30,18.0
SEN/2023/07/13-105-ACI-Dropt,2023-07-13,2023-07-13,2023-07-31,19.0
DDTM-SEMA-2023-0139_01,2023-07-12,2023-07-12,2023-07-20,9.0
DDTM-SEMA-2023-0139_02,2023-07-12,2023-07-12,2023-07-20,9.0
DDTM-SEMA-2023-0139_03,2023-07-12,2023-07-12,2023-07-20,9.0
07-2023-07-13-00003,2023-07-13,2023-07-13,2023-07-18,6.0
1866/2023,2023-07-17,2023-07-18,2023-07-24,7.0
Arrêté du 13 juillet 2023_MAJ,2023-07-13,2023-07-15,2023-07-22,8.0
AP_2023_DDT_SEB_337_Gartempe_Anglin,2023-07-17,2023-07-18,2023-07-24,7.0
AP_2023_DDT_SEB_340_Dive du Nord,2023-07-17,2023-07-18,2023-07-19,2.0
AP_2023_DDT_SEB_343_Vienne,2023-07-17,2023-07-18,2023-07-23,6.0
2023_ASSOU,2023-06-09,2023-06-09,2023-07-21,43.0
2023_Cerou_2,2023-07-06,2023-07-08,2023-07-21,14.0
2023_Bagas_02,2023-07-13,2023-07-15,2023-07-21,7.0
DDT53_AR-n°3_18-07-2023,2023-07-18,2023-07-19,2023-07-25,7.0
2023-04-17-Secheresse,2023-04-17,2023-04-18,2023-10-31,197.0
2023-1894,2023-07-17,2023-07-17,2023-08-06,21.0
2350-23-00120,2023-07-11,2023-07-12,2023-07-20,9.0
2023_En Guibaud_02,2023-07-13,2023-07-15,2023-07-21,7.0
2023_Rance_02,2023-07-13,2023-07-15,2023-07-21,7.0
AP_DDT_SEN_20230706_B90_EL,2023-07-06,2023-07-07,2023-07-18,12.0
AP_DDT_SEN_20230706_B90,2023-07-06,2023-07-07,2023-08-03,28.0
20230718-Dive du nord,2023-07-18,2023-07-19,2023-07-20,2.0
82-2023-07-13-00004,2023-07-13,2023-07-15,2023-07-21,7.0
70-2023-07-13-00002,2023-07-13,2023-07-13,2023-10-31,111.0
70-2023-07-13-00003,2023-07-13,2023-07-13,2023-10-05,85.0
70-2023-07-13-00004,2023-07-13,2023-07-13,2023-10-05,85.0
Arrêté du 18 juillet 2023,2023-07-18,2023-07-19,2023-07-25,7.0
Somme-2023_07_17,2023-07-17,2023-07-17,2023-08-27,42.0
Arrêté DDT-SEEB-PPE-Etiage-49 n°2023-04,2023-07-18,2023-07-19,2023-07-26,8.0
DDT42_20230718,2023-07-18,2023-07-18,2023-07-31,14.0
LET2230746 Vigilance Baise,2023-07-19,2023-07-19,2023-08-10,23.0
ARRETE DDT-SGREB-2023-229,2023-07-18,2023-07-18,2023-07-26,9.0
AP_DDT_SEN_20230706_B90_EL,2023-07-06,2023-07-06,2023-08-03,29.0
DDT-SEEB-PPE-2023-Etiage n°2023-SN-03,2023-07-18,2023-07-19,2023-07-26,8.0
2023-DDT 57/SABE/EAU-34_Zones_MAONS-MAM,2023-07-17,2023-07-20,2023-08-09,21.0
2023-07-17-002,2023-07-17,2023-07-17,2023-08-22,37.0
07-2023-07-19-00002,2023-07-19,2023-07-19,2023-07-18,0.0
DDT60 - 20230717,2023-07-17,2023-07-17,2023-10-04,80.0
07-2023-07-19-00002,2023-07-19,2023-07-19,2023-07-31,13.0
2023/SEE/0141,2023-07-19,2023-07-20,2023-07-31,12.0
AP_Restriction-BvDordogne-162023071900001,2023-07-19,2023-07-20,2023-07-19,0.0
EL_V3_38-2023-07-10-00008,2023-07-10,2023-07-10,2023-09-12,65.0
D_LOT_AP_E-2023-217_20230720,2023-07-20,2023-07-22,2023-07-28,7.0
L_LOT_AP_E-2023-217_20230720,2023-07-20,2023-07-22,2023-07-28,7.0
A_LOT_AP_E-2023-217_20230720,2023-07-20,2023-07-22,2023-07-28,7.0
AP-Restriction-BvCharente-162023071900001,2023-07-19,2023-07-20,2023-07-22,3.0
35-2023-07-19-00001,2023-07-19,2023-07-19,2023-07-31,13.0
AP_Restriction-BvDordogne-162023071900001,2023-07-19,2023-07-20,2023-07-26,7.0
SNMP-20230720,2023-07-20,2023-07-24,2023-07-30,7.0
TTA-20230720,2023-07-20,2023-07-24,2023-07-30,7.0
Layon-20230720,2023-07-20,2023-07-21,2023-09-26,68.0
Charente-Boutonne-20230720,2023-07-20,2023-07-21,2023-07-27,7.0
Dive-du-Nord-20230720,2023-07-20,2023-07-21,2023-08-11,22.0
AP_2023_DDT_SEB_350_Dive_du_Nord,2023-07-19,2023-07-20,2023-08-06,18.0
36-2023-07-20-00001,2023-07-20,2023-07-22,2023-07-28,7.0
52_2023_07_00131,2023-07-19,2023-07-19,2023-08-10,23.0
64-2023-07-20-00003 Saleys alerte,2023-07-20,2023-07-21,2023-08-17,28.0
AP_2023_DDT_SEB_349_Vienne,2023-07-19,2023-07-24,2023-07-23,0.0
64-2023-07-20-00005 Joyeuse crise,2023-07-20,2023-07-21,2023-10-31,103.0
AP_2023_DDT_SEB_348_Clain,2023-07-19,2023-07-21,2023-08-21,32.0
64-2023-07-20-00004 Ousse des Bois crise,2023-07-20,2023-07-21,2023-10-31,103.0
2350-23-00127,2023-07-19,2023-07-21,2023-08-18,29.0
AP_2023_DDT_SEB_346_SNMP1,2023-07-19,2023-07-24,2023-10-31,100.0
2023_alerte_dordogne,2023-07-19,2023-07-20,2023-07-25,6.0
2023_alerte_charente,2023-07-19,2023-07-20,2023-07-25,6.0
2023_alerte_vienne_amont,2023-07-19,2023-07-20,2023-07-26,7.0
2023_alerte_gartempe,2023-07-19,2023-07-20,2023-07-26,7.0
DDT/SEB/PREMA-2023 201-0001,2023-07-20,2023-07-22,2023-08-21,31.0
DDT-2023-269,2023-07-20,2023-07-20,2023-07-20,1.0
S_LOT_AP_E-2023-217_20230720,2023-07-20,2023-07-22,2023-07-28,7.0
DDT/SEB/PREMA-2023 201-0001,2023-07-20,2023-07-22,2023-09-30,71.0
20231293,2023-07-20,2023-07-21,2023-07-30,10.0
23EB634,2023-07-19,2023-07-20,2023-07-26,7.0
78-2023-07-20-00004,2023-07-20,2023-07-20,2023-08-25,37.0
Arrêté du 21 juillet 2023,2023-07-21,2023-07-23,2023-07-29,7.0
DDT_2023_269,2023-07-21,2023-07-21,2023-07-21,1.0
12-2023-07-19-00001 LOT,2023-07-19,2023-07-22,2023-07-28,7.0
12-2023-07-19-00001 AVEYRON,2023-07-19,2023-07-22,2023-07-28,7.0
12-2023-07-19-00001 TARN,2023-07-19,2023-07-22,2023-07-28,7.0
12-2023-07-19-00001 ORB HÉRAULT,2023-07-19,2023-07-22,2023-07-28,7.0
41-2023-07-20-00002,2023-07-20,2023-07-21,2023-07-28,8.0
DDT/SEER/2023/020_BV-DROPT,2023-07-21,2023-07-22,2023-07-28,7.0
DDT/SEER/2023/020_BV Charente ,2023-07-21,2023-07-22,2023-07-28,7.0
DDT/SEER/2023/020_BV Lot,2023-07-21,2023-07-22,2023-07-28,7.0
20230721_AP_ARIEGE_HERS_LEZE_DOUCTOUYRE_COUNTIROU,2023-07-21,2023-07-27,2023-07-27,1.0
LB_LOT_AP_E-2023-217_20230720,2023-07-20,2023-07-22,2023-07-28,7.0
47-2023-07-20-00005,2023-07-20,2023-07-22,2023-07-28,7.0
DDT/SEER/2023/020_BV-DORDOGNE,2023-07-21,2023-07-22,2023-07-28,7.0
05-2023-07-21-00002,2023-07-21,2023-07-21,2023-08-03,14.0
2023-DDT-SE-323,2023-07-21,2023-07-22,2023-08-10,20.0
23-2023-07-20-00004,2023-07-20,2023-07-20,2023-07-30,11.0
DDT-2023-269,2023-07-22,2023-07-22,2023-07-27,6.0
82-2023-07-20-00002,2023-07-20,2023-07-22,2023-07-28,7.0
AP-Restriction-BvCharente-162023072100001,2023-07-21,2023-07-22,2023-07-26,5.0
26-2023-07-21-00002 et 38-2023-07-19-00001 (GDDC),2023-07-21,2023-07-21,2023-10-30,102.0
1161,2023-07-20,2023-07-21,2023-08-25,36.0
30-2023-07-21-00001,2023-07-21,2023-07-21,2023-08-09,20.0
2023_Rance_03,2023-07-20,2023-07-22,2023-07-28,7.0
2023_En Guibaud_03,2023-07-20,2023-07-22,2023-07-28,7.0
2023_DOURDOU_04,2023-07-20,2023-07-22,2023-07-28,7.0
2023_Vère non réalimentée_01,2023-07-20,2023-07-22,2023-07-28,7.0
2023_TESCOU_02,2023-07-20,2023-07-22,2023-07-28,7.0
2023_AGROS_05,2023-07-20,2023-07-22,2023-07-28,7.0
19-2023-07-21-00001_ESOU_DOR,2023-07-21,2023-07-21,2023-08-04,15.0
2023_ASSOU_01,2023-07-20,2023-07-22,2023-07-25,4.0
2023_Bagas_03,2023-07-20,2023-07-22,2023-07-28,7.0
BLV_38-2023-07-13-00004_et_N°_26-2023-07-21-00005,2023-07-21,2023-07-21,2023-08-03,14.0
19-2023-07-21-00001_ESUP_DOR,2023-07-21,2023-07-21,2023-08-04,15.0
2023_BERNAZOBRE_01,2023-07-20,2023-07-22,2023-07-28,7.0
2023_Affluents Agout aval_02,2023-07-20,2023-07-22,2023-07-28,7.0
19-2023-07-21-00001_ESOU_VIENNE,2023-07-21,2023-07-21,2023-08-04,15.0
19-2023-07-21-00001_ESUP_VIENNE,2023-07-21,2023-07-21,2023-08-04,15.0
